Policy,step,avg_qos_score,intent_satisfaction_rate,sla_violation_rate,ar_avg_delay,ar_intent_satisfaction_rate,ar_p95_delay,ar_sla_violated_rate,background_avg_delay,background_intent_satisfaction_rate,background_p95_delay,background_sla_violated_rate,compute_avg_delay,compute_intent_satisfaction_rate,compute_p95_delay,compute_sla_violated_rate,video_avg_delay,video_intent_satisfaction_rate,video_p95_delay,video_sla_violated_rate
cost_aware,1,0.5215462341256734,0.4,0.6,32.57390547129499,0.0,36.92582403567252,1.0,29.803126820102495,1.0,40.322426480330236,0.0,41.691234968581654,0.5,47.30031745431546,0.5,42.946764026633886,0.25,44.22419842025213,0.75
cost_aware,2,0.5101316798302332,0.4,0.6,36.8340256082595,0.0,43.00094695611021,1.0,32.800682903856405,1.0,39.40019233316977,0.0,45.116382498352074,0.5,51.94881290096569,0.5,43.59752729163117,0.25,46.62231786199924,0.75
cost_aware,3,0.4411734954751154,0.26666666666666666,0.7333333333333333,46.65460176152436,0.0,49.13118960624632,1.0,33.481561648642256,1.0,39.34717433107815,0.0,37.18486966871005,0.0,43.31052643381867,1.0,42.363106737917356,0.25,48.74814667763334,0.75
cost_aware,4,0.41514342767923246,0.4666666666666667,0.5333333333333333,41.48071253455903,0.0,45.86648839589298,1.0,36.74742906549383,1.0,43.01124704462842,0.0,35.05151237894107,0.5,48.766666666666666,0.5,41.06960086446342,0.5,48.63004346644802,0.5
cost_aware,5,0.4025317021941044,0.3333333333333333,0.6666666666666666,41.68564728092229,0.0,53.404713464421604,1.0,34.3183837978504,0.6666666666666666,37.16052325180939,0.3333333333333333,32.7388189868195,0.5,44.10138715357456,0.5,39.0410245864353,0.25,45.33779283913259,0.75
cost_aware,6,0.3608183391672942,0.4666666666666667,0.5333333333333333,35.278780736605114,0.25,44.57329171484833,0.75,30.358227586947084,0.6666666666666666,31.398725324503644,0.3333333333333333,30.612124374185004,0.5,41.506585365753736,0.5,26.450807325822616,0.5,29.81412638619486,0.5
cost_aware,7,0.32904457997919084,0.4,0.6,30.715291635595758,0.25,39.288436284649954,0.75,28.544582175777684,0.6666666666666666,29.83192453255084,0.3333333333333333,22.833188715479725,0.25,34.77336932237635,0.75,22.300666347621103,0.5,24.8755740016103,0.5
cost_aware,8,0.3354587714363386,0.4,0.6,27.415670002673412,0.25,34.01171589037318,0.75,29.701514114635877,0.6666666666666666,32.70004565751767,0.3333333333333333,22.794595348923828,0.25,30.11242070333819,0.75,20.40415826532861,0.5,20.82954254664456,0.5
cost_aware,9,0.3744053832418796,0.5333333333333333,0.4666666666666667,26.232313404571094,0.5,36.70598998746894,0.5,33.61581765879244,0.6666666666666666,36.75902486286687,0.3333333333333333,22.792217518752718,0.25,25.457941310163985,0.75,27.713616941782746,0.75,42.71264212305313,0.25
cost_aware,10,0.4033344832428529,0.5333333333333333,0.4666666666666667,27.25203713354567,0.5,41.24434389140271,0.5,37.064437033774865,0.6666666666666666,41.3421263009811,0.3333333333333333,25.92605767919704,0.25,27.90267562205036,0.75,26.802774957178265,0.75,38.3806505590683,0.25
cost_aware,11,0.43168676688894847,0.4666666666666667,0.5333333333333333,29.120626883177785,0.5,46.52402941159857,0.5,39.55669273238072,0.6666666666666666,46.17624434389141,0.3333333333333333,34.20454761248911,0.25,51.055193916640214,0.75,34.949137279117664,0.5,46.38352806767412,0.5
cost_aware,12,0.4373819907070778,0.4666666666666667,0.5333333333333333,39.46711977411885,0.5,63.599883423402055,0.5,39.658697963070956,0.3333333333333333,46.346135781573665,0.6666666666666666,39.59062882123034,0.5,46.2,0.5,39.616743530608986,0.5,49.20818162722011,0.5
cost_aware,13,0.44653126313351565,0.4,0.6,41.90180094692717,0.0,58.28944326835046,1.0,36.32822585821482,0.3333333333333333,42.52446318513286,0.6666666666666666,35.12289473102641,0.5,41.62436263462572,0.5,37.14180354042155,0.75,43.982523275093364,0.25
cost_aware,14,0.43670289312477584,0.4666666666666667,0.5333333333333333,46.48945413823328,0.0,53.3886145747066,1.0,33.25391390729578,1.0,41.81487620801228,0.0,30.942295711087297,0.5,37.52184730390232,0.5,37.047172833240516,0.5,45.30220210432588,0.5
cost_aware,15,0.4072906675210407,0.4,0.6,41.281076673372326,0.0,49.16666666666666,1.0,30.432915938577267,1.0,41.15736301356275,0.0,27.379147212902886,0.5,34.246020545463715,0.5,32.79274712562089,0.25,43.369507859972785,0.75
cost_aware,16,0.39758603511198337,0.4666666666666667,0.5333333333333333,38.02400005727278,0.25,46.071885036991695,0.75,27.49729524922936,1.0,39.136043360315064,0.0,25.143848647892536,0.5,32.35804865149861,0.5,29.444420622642284,0.25,40.239331945686864,0.75
cost_aware,17,0.4002094057531543,0.4666666666666667,0.5333333333333333,36.215669064267644,0.25,44.69442304398661,0.75,24.447301634447722,1.0,35.525,0.0,24.615995698453418,0.5,32.398986451781084,0.5,30.56487522637932,0.25,39.10244586029949,0.75
cost_aware,18,0.39854284330021417,0.4666666666666667,0.5333333333333333,35.833301030722915,0.25,44.253394271776614,0.75,25.150469173540223,1.0,34.169841347913476,0.0,24.06595685787481,0.5,30.428094168659666,0.5,33.67228212869139,0.25,40.428092416601075,0.75
cost_aware,19,0.40147322414257425,0.4666666666666667,0.5333333333333333,34.6474163434614,0.25,44.810439420287906,0.75,24.938992743820467,1.0,32.41867430773191,0.0,22.97762034719792,0.5,28.3047008329006,0.5,37.225165135328595,0.25,43.67942840079918,0.75
cost_aware,20,0.41779817849567596,0.4666666666666667,0.5333333333333333,32.08734647113743,0.25,38.838433652415645,0.75,24.26727530292002,1.0,32.019998979175135,0.0,22.86773198707062,0.5,32.708922467838484,0.5,36.855260804490946,0.25,43.33038461538462,0.75
cost_aware,21,0.42833211401908916,0.4666666666666667,0.5333333333333333,30.459837184333512,0.25,33.09152171036093,0.75,20.77853836961609,1.0,26.818614129124338,0.0,25.829739272417598,0.5,37.206188337319325,0.5,34.54969808667276,0.25,39.10244586029949,0.75
cost_aware,22,0.49692975974395825,0.6,0.4,26.364493642207734,0.75,27.96243756998857,0.25,15.913127749314212,1.0,21.875,0.0,29.920010586057888,0.5,35.56666666666666,0.5,33.63648097972331,0.25,36.53834935270376,0.75
cost_aware,23,0.497279132514358,0.5333333333333333,0.4666666666666667,26.956196360222226,0.5,31.660713070446587,0.5,19.20821237297111,1.0,23.560828839237185,0.0,32.06677421917971,0.5,39.216269836270655,0.5,34.554691494352795,0.25,36.85241336747816,0.75
cost_aware,24,0.4911853763048769,0.5333333333333333,0.4666666666666667,29.99458034512716,0.5,37.88747955469988,0.5,23.9664593706319,1.0,28.6845454429505,0.0,34.04086959002851,0.5,43.297198681718605,0.5,37.35315468441931,0.25,39.854258245465566,0.75
cost_aware,25,0.4813399335072516,0.4666666666666667,0.5333333333333333,34.75470525824368,0.25,44.124967899313255,0.75,28.90942098843713,1.0,33.9013052494274,0.0,35.64841564786858,0.5,47.591550086074115,0.5,41.47147779791856,0.25,44.489000858215164,0.75
cost_aware,26,0.5213015233157824,0.4666666666666667,0.5333333333333333,39.047482819648955,0.0,46.825484055902535,1.0,27.806067891242964,1.0,30.644083543457555,0.0,35.04357484892726,0.75,48.886467896360266,0.25,47.48910437511988,0.25,58.79914402206407,0.75
cost_aware,27,0.5151387244943568,0.4666666666666667,0.5333333333333333,43.457821913496986,0.0,51.06249421617575,1.0,27.76389478386496,1.0,31.303868311619365,0.0,36.77446525587836,0.75,53.368328243568,0.25,45.60601478447109,0.25,53.93625953150798,0.75
cost_aware,28,0.4482218738431141,0.4,0.6,35.433276407087746,0.0,36.75116819879087,1.0,28.38663157380368,1.0,34.5037137637478,0.0,26.02973640534338,0.5,41.506585365753736,0.5,41.146382621697214,0.25,49.11828998429908,0.75
cost_aware,29,0.40092769969365527,0.3333333333333333,0.6666666666666666,44.287994866771356,0.0,58.805565303671266,1.0,26.852243560233962,1.0,33.443098069948505,0.0,12.628628857862685,0.25,12.628628857862685,0.75,37.9474859050395,0.25,47.117966932999,0.75
cost_aware,30,0.3607295377287013,0.3333333333333333,0.6666666666666666,47.31444866644808,0.0,53.50226444477216,1.0,23.967381982339347,0.6666666666666666,34.54492239458311,0.3333333333333333,32.95514093025782,0.5,48.94858566770397,0.5,41.12389892265213,0.25,57.798160282191624,0.75
cost_aware,31,0.3579756650368342,0.3333333333333333,0.6666666666666666,47.94797342822696,0.0,53.08493498543719,1.0,26.969821015359525,0.6666666666666666,42.1781248754484,0.3333333333333333,41.91132684477439,0.5,52.373057146120296,0.5,43.057103844648,0.25,61.053165663139225,0.75
cost_aware,32,0.3348642840643055,0.3333333333333333,0.6666666666666666,52.334731404260395,0.0,57.88461538461539,1.0,29.81289672974468,0.6666666666666666,46.83685700583139,0.3333333333333333,43.6334743897,0.5,55.016923076923085,0.5,38.15290783417868,0.25,52.279967091439175,0.75
cost_aware,33,0.3188206843033586,0.4,0.6,51.54090051325289,0.0,54.271364285855725,1.0,35.82375103475131,1.0,52.52956771187666,0.0,33.30502383107758,0.5,37.16124383682474,0.5,38.49189421568385,0.25,40.98263518888848,0.75
cost_aware,34,0.37001385432539485,0.4,0.6,46.491454578558006,0.0,50.858323341325345,1.0,40.31649346984848,0.6666666666666666,50.25278865231236,0.3333333333333333,35.90412052316377,0.75,41.45166157690133,0.25,47.88644222357135,0.25,57.08317329170937,0.75
cost_aware,35,0.3717846684016021,0.3333333333333333,0.6666666666666666,43.08213455131556,0.0,46.30528124137327,1.0,35.63483015362677,0.3333333333333333,40.05343162391521,0.6666666666666666,32.50699467882833,0.75,39.70120822114751,0.25,47.91181972691153,0.25,52.95659932921073,0.75
cost_aware,36,0.38857357530870346,0.4,0.6,40.61788015531716,0.0,42.564303721896124,1.0,32.950457958790786,0.6666666666666666,37.275,0.3333333333333333,31.921991461932244,0.75,41.088364189786155,0.25,46.973162930983165,0.25,51.86273011974326,0.75
cost_aware,37,0.4099592688100318,0.4666666666666667,0.5333333333333333,42.84175087949459,0.0,50.93305570600093,1.0,31.05541375813189,0.6666666666666666,38.78604336031506,0.3333333333333333,32.05922871618035,0.75,45.601817314053946,0.25,47.99968632688849,0.5,56.782307465172565,0.5
cost_aware,38,0.4143972766872663,0.4666666666666667,0.5333333333333333,40.66807117056875,0.0,51.766507176627805,1.0,29.9302166485188,0.6666666666666666,41.475,0.3333333333333333,32.942525369087065,0.75,49.93204654946704,0.25,44.07367520133352,0.5,44.10890905296572,0.5
cost_aware,39,0.43046691234561824,0.4,0.6,43.204238525360026,0.0,53.77082682698251,1.0,29.498325913540633,0.6666666666666666,44.97260262725252,0.3333333333333333,32.18353939194684,0.75,43.79708094089714,0.25,48.35654961834544,0.25,54.01081154986349,0.75
cost_aware,40,0.4026463607986307,0.3333333333333333,0.6666666666666666,46.656056665591194,0.0,56.75277130103826,1.0,29.74668017833581,0.6666666666666666,48.99326846469032,0.3333333333333333,29.115446164682226,0.5,39.55936007566424,0.5,45.35243626423716,0.25,49.880000581459925,0.75
cost_aware,41,0.3179674637485193,0.26666666666666666,0.7333333333333333,45.13513204638216,0.0,47.33783747230149,1.0,23.23721333357758,0.3333333333333333,39.06483776055944,0.6666666666666666,30.205516174964206,0.5,35.588241081762504,0.5,36.73727663790119,0.25,37.673152854250795,0.75
cost_aware,42,0.3091730505916915,0.26666666666666666,0.7333333333333333,49.85091475879808,0.0,52.03522079770126,1.0,27.490820480521027,0.3333333333333333,42.36211461853647,0.6666666666666666,31.787704689321192,0.5,37.30702377982805,0.5,36.976044043752886,0.25,42.49449194620082,0.75
cost_aware,43,0.29101269140542935,0.3333333333333333,0.6666666666666666,49.50358043897815,0.0,57.18735572456165,1.0,32.01026484349477,0.6666666666666666,46.16336817619463,0.3333333333333333,33.91691825424694,0.5,41.52487303761425,0.5,37.67618954149354,0.25,47.89658917173225,0.75
cost_aware,44,0.28386498856029296,0.3333333333333333,0.6666666666666666,36.51650429449553,0.0,36.51650429449553,1.0,33.70624984008746,0.6666666666666666,44.311341295433785,0.3333333333333333,36.59947725441286,0.25,45.1,0.75,29.59404993653316,0.5,35.101941260198835,0.5
cost_aware,45,0.3020102035851691,0.3333333333333333,0.6666666666666666,31.213203435596423,0.0,31.213203435596423,1.0,33.955655773547605,0.6666666666666666,39.563698600208276,0.3333333333333333,36.48752931409846,0.25,39.873302404448246,0.75,29.250286221849684,0.5,36.61154036137298,0.5
cost_aware,46,0.3428698079484905,0.26666666666666666,0.7333333333333333,52.33407876096145,0.0,62.42501937547339,1.0,32.00339670656513,0.6666666666666666,35.0429472592841,0.3333333333333333,39.765898328199306,0.5,43.61772342674839,0.5,40.55697950007941,0.0,46.948429173645124,1.0
cost_aware,47,0.3654364297755091,0.4,0.6,52.53960343752326,0.0,57.157165717170564,1.0,34.32386356758347,1.0,48.33808806834443,0.0,32.422678799348986,0.5,36.283108915912095,0.5,49.93270731920571,0.25,65.74488147537558,0.75
cost_aware,48,0.378530623671537,0.4,0.6,48.02234371868368,0.0,52.29700356490122,1.0,29.78865330154929,1.0,43.370815306956445,0.0,28.44024713348953,0.5,32.6583204334331,0.5,45.06701231282739,0.25,60.973865350306184,0.75
cost_aware,49,0.38968023966504955,0.4,0.6,44.22984906097734,0.0,48.09615384615385,1.0,25.750953863654946,1.0,38.55797101099823,0.0,25.462326139460814,0.5,29.448803825330412,0.5,40.65395065570924,0.25,56.619458562752385,0.75
cost_aware,50,0.3978726167298271,0.4,0.6,41.49958234162607,0.0,44.96168197424215,1.0,22.485970216532145,1.0,34.05654403417221,0.0,23.86274646544986,0.5,27.74149890302218,0.5,37.07678372881136,0.25,52.90296034891366,0.75
cost_aware,51,0.40509333049903146,0.4,0.6,40.20273600067357,0.0,43.46454980151183,1.0,20.13583333291188,1.0,30.275,0.0,23.30878329983343,0.5,31.94224529144583,0.5,35.39725285503361,0.25,50.15081148841655,0.75
cost_aware,52,0.40294054540876806,0.4,0.6,40.57629406445709,0.0,45.32240868580084,1.0,22.32372261682022,1.0,30.76695106090103,0.0,25.211729499266397,0.5,36.81067411623028,0.5,36.26778941243377,0.25,48.754105429329684,0.75
cost_aware,53,0.3962318600196962,0.4,0.6,42.55571692332453,0.0,48.441824284871316,1.0,25.749721218967167,1.0,34.86883199755623,0.0,28.69760251646634,0.5,41.94953798329652,0.5,38.71719053030566,0.25,48.987872065221104,0.75
cost_aware,54,0.4013133734580374,0.4,0.6,45.82090519641283,0.0,52.465699428248094,1.0,30.086747769295258,1.0,39.377722846307705,0.0,32.654781188297974,0.5,47.21840643923978,0.5,42.2191469657077,0.25,50.80157627246383,0.75
cost_aware,55,0.38916566949757697,0.4,0.6,49.993576910045164,0.0,57.10416088284242,1.0,34.84598158282983,1.0,44.11835732321639,0.0,36.9206374449448,0.5,52.558546880555554,0.5,46.456058499641614,0.25,53.862387359713836,0.75
cost_aware,56,0.32991551658338414,0.3333333333333333,0.6666666666666666,47.84470916220844,0.0,52.97378750366087,1.0,25.090506886676817,0.6666666666666666,25.559709238860915,0.3333333333333333,31.690052506508486,0.5,33.828805370686766,0.5,46.637423908521484,0.25,54.44166666666667,0.75
cost_aware,57,0.3533220708007709,0.3333333333333333,0.6666666666666666,35.51776695296637,0.0,47.5,1.0,25.274136008356727,0.6666666666666666,29.53813234541439,0.3333333333333333,40.54503417988819,0.5,49.86929300734292,0.5,42.82381878694375,0.25,52.875,0.75
cost_aware,58,0.40068963100490773,0.4666666666666667,0.5333333333333333,34.282228110004304,0.25,49.725621455176764,0.75,29.9463083443312,0.6666666666666666,42.962378808631776,0.3333333333333333,33.40685869327926,0.75,41.52487303761425,0.25,35.665285352413584,0.25,35.74609099468075,0.75
cost_aware,59,0.38300934924121494,0.4666666666666667,0.5333333333333333,42.60126207810193,0.25,57.51872186580624,0.75,24.841158930027625,0.6666666666666666,35.861965503068234,0.3333333333333333,28.88692474972063,0.5,33.3731114142424,0.5,36.71872134707473,0.5,45.13944771442127,0.5
cost_aware,60,0.4322276638936314,0.5333333333333333,0.4666666666666667,49.318141623547895,0.0,55.81617231293241,1.0,29.463373440857836,1.0,40.624615382086645,0.0,27.0918878285729,0.5,34.894832768095704,0.5,38.4310720333832,0.75,42.438910041873704,0.25
cost_aware,61,0.4502485809208509,0.6,0.4,48.77968441294651,0.0,53.22767853768339,1.0,26.557023408782662,1.0,35.616132399291914,0.0,30.689908984864733,0.5,47.25170742248745,0.5,40.71730794940348,1.0,44.86758513568313,0.0
cost_aware,62,0.4566693336112063,0.5333333333333333,0.4666666666666667,46.540010228030155,0.0,53.593704867094935,1.0,24.36257249436641,1.0,30.736043360315062,0.0,26.22165198672693,0.5,42.67058747232155,0.5,39.77317745418222,0.75,49.82900681009461,0.25
cost_aware,63,0.466054574140046,0.5333333333333333,0.4666666666666667,44.38968024693837,0.0,58.897005725994035,1.0,25.459482548506966,1.0,29.255855684222723,0.0,30.09563323252661,0.5,57.21519391664022,0.5,36.47635733369299,0.75,44.37466200755849,0.25
cost_aware,64,0.44475310783710353,0.5333333333333333,0.4666666666666667,38.76792756635831,0.25,53.50226444477216,0.75,24.276081325756653,1.0,25.559709238860915,0.0,18.152386557944297,0.5,19.343076923076925,0.5,31.471805556629537,0.5,46.04430726046914,0.5
cost_aware,65,0.4668227478847123,0.5333333333333333,0.4666666666666667,35.95867351096163,0.0,48.19896358587306,1.0,26.721428173435868,1.0,30.35311071256927,0.0,29.000766313947256,0.75,41.506585365753736,0.25,29.230516892225594,0.5,51.03367244050423,0.5
cost_aware,66,0.49447384141489636,0.6,0.4,30.046180312874966,0.25,35.63321928805992,0.75,28.216370969779213,1.0,35.28491090688111,0.0,31.353894951782866,0.75,38.63829981237449,0.25,18.843148997609973,0.5,31.516365523934056,0.5
cost_aware,67,0.5029103612851885,0.7333333333333333,0.26666666666666666,27.577706856333236,0.5,29.891097397377486,0.5,30.81022329233414,1.0,35.3186839270819,0.0,32.2127140304475,0.75,36.26137674281508,0.25,17.820121457764618,0.75,27.238150616992645,0.25
cost_aware,68,0.5041400294423534,0.7333333333333333,0.26666666666666666,27.734492463326706,0.5,34.223367938150744,0.5,32.07901915734144,1.0,35.41812352231421,0.0,35.015611869238704,0.75,40.16796034248436,0.25,21.52637385947549,0.75,28.268608757913654,0.25
